command,description,os,generated_command,pos_tags
psloggedon,whos logged on locally or via resource sharing,windows,,"[('who', 'PRON'), ('s', 'AUX'), ('logged', 'VERB'), ('on', 'ADP'), ('locally', 'ADV'), ('or', 'CCONJ'), ('via', 'ADP'), ('resource', 'NOUN'), ('sharing', 'NOUN')]"
psloglist,event log records,windows,,"[('event', 'NOUN'), ('log', 'NOUN'), ('records', 'NOUN')]"
pspasswd,change account password,windows,,"[('change', 'VERB'), ('account', 'NOUN'), ('password', 'NOUN')]"
psping,measure network performance,windows,,"[('measure', 'NOUN'), ('network', 'NOUN'), ('performance', 'NOUN')]"
psservice,view and control services,windows,,"[('view', 'NOUN'), ('and', 'CCONJ'), ('control', 'NOUN'), ('services', 'NOUN')]"
psshutdown,shutdown or reboot a computer,windows,,"[('shutdown', 'NOUN'), ('or', 'CCONJ'), ('reboot', 'ADP'), ('a', 'DET'), ('computer', 'NOUN')]"
pssuspend,suspend processes,windows,,"[('suspend', 'VERB'), ('processes', 'NOUN')]"
pushd,save and then change the current directory ,windows,,"[('save', 'VERB'), ('and', 'CCONJ'), ('then', 'ADV'), ('change', 'VERB'), ('the', 'DET'), ('current', 'ADJ'), ('directory', 'NOUN')]"
qprocess,query process display processes,windows,,"[('query', 'NOUN'), ('process', 'NOUN'), ('display', 'NOUN'), ('processes', 'VERB')]"
qwinsta,query session display all sessions tsremote desktop,windows,,"[('query', 'NOUN'), ('session', 'NOUN'), ('display', 'VERB'), ('all', 'DET'), ('sessions', 'NOUN'), ('tsremote', 'NOUN'), ('desktop', 'NOUN')]"
qappsrv,query termserver list all servers tsremote desktop,windows,,"[('query', 'NOUN'), ('termserver', 'NOUN'), ('list', 'NOUN'), ('all', 'DET'), ('servers', 'NOUN'), ('tsremote', 'VERB'), ('desktop', 'NOUN')]"
quser,query user display user sessions tsremote desktop,windows,,"[('query', 'PROPN'), ('user', 'NOUN'), ('display', 'NOUN'), ('user', 'NOUN'), ('sessions', 'PROPN'), ('tsremote', 'PROPN'), ('desktop', 'NOUN')]"
rasdial,manage ras connections,windows,,"[('manage', 'VERB'), ('ras', 'NOUN'), ('connections', 'NOUN')]"
rasphone,manage ras connections,windows,,"[('manage', 'VERB'), ('ras', 'NOUN'), ('connections', 'NOUN')]"
rd,delete a directory ,windows,,"[('delete', 'VERB'), ('a', 'DET'), ('directory', 'NOUN')]"
recover,recover a damaged file from a defective disk,windows,,"[('recover', 'VERB'), ('a', 'DET'), ('damaged', 'VERB'), ('file', 'NOUN'), ('from', 'ADP'), ('a', 'DET'), ('defective', 'ADJ'), ('disk', 'NOUN')]"
reg,registry read set export delete keys and values,windows,,"[('registry', 'NOUN'), ('read', 'VERB'), ('set', 'VERB'), ('export', 'NOUN'), ('delete', 'ADJ'), ('keys', 'NOUN'), ('and', 'CCONJ'), ('values', 'NOUN')]"
regedit,import or export registry settings,windows,,"[('import', 'NOUN'), ('or', 'CCONJ'), ('export', 'NOUN'), ('registry', 'NOUN'), ('settings', 'NOUN')]"
regsvr32,register or unregister a dll,windows,,"[('register', 'VERB'), ('or', 'CCONJ'), ('unregister', 'VERB'), ('a', 'DET'), ('dll', 'NOUN')]"
regini,change registry permissions,windows,,"[('change', 'VERB'), ('registry', 'NOUN'), ('permissions', 'NOUN')]"
rem,record comments remarks in a batch file ,windows,,"[('record', 'NOUN'), ('comments', 'NOUN'), ('remarks', 'NOUN'), ('in', 'ADP'), ('a', 'DET'), ('batch', 'NOUN'), ('file', 'NOUN')]"
ren,rename a file or files ,windows,,"[('rename', 'ADJ'), ('a', 'DET'), ('file', 'NOUN'), ('or', 'CCONJ'), ('files', 'NOUN')]"
replace,replace or update one file with another,windows,,"[('replace', 'VERB'), ('or', 'CCONJ'), ('update', 'VERB'), ('one', 'NUM'), ('file', 'NOUN'), ('with', 'ADP'), ('another', 'PRON')]"
reset session,delete a remote desktop session,windows,,"[('delete', 'VERB'), ('a', 'DET'), ('remote', 'ADJ'), ('desktop', 'NOUN'), ('session', 'NOUN')]"
rmdir,delete a directory ,windows,,"[('delete', 'VERB'), ('a', 'DET'), ('directory', 'NOUN')]"
rmtshare,share a folder or a printer,windows,,"[('share', 'VERB'), ('a', 'DET'), ('folder', 'NOUN'), ('or', 'CCONJ'), ('a', 'DET'), ('printer', 'NOUN')]"
robocopy,robust file and folder copy,windows,,"[('robust', 'ADJ'), ('file', 'NOUN'), ('and', 'CCONJ'), ('folder', 'NOUN'), ('copy', 'NOUN')]"
route,manipulate network routing tables,windows,,"[('manipulate', 'NOUN'), ('network', 'NOUN'), ('routing', 'VERB'), ('tables', 'NOUN')]"
run,start  run commands,windows,,"[('start', 'VERB'), (' ', 'SPACE'), ('run', 'VERB'), ('commands', 'NOUN')]"
runas,execute a program under a different user account,windows,,"[('execute', 'VERB'), ('a', 'DET'), ('program', 'NOUN'), ('under', 'ADP'), ('a', 'DET'), ('different', 'ADJ'), ('user', 'NOUN'), ('account', 'NOUN')]"
rundll32,run a dll command addremove print connections,windows,,"[('run', 'VERB'), ('a', 'DET'), ('dll', 'NOUN'), ('command', 'NOUN'), ('addremove', 'NOUN'), ('print', 'NOUN'), ('connections', 'NOUN')]"
sc,service control,windows,,"[('service', 'NOUN'), ('control', 'NOUN')]"
schtasks,schedule a command to run at a specific time,windows,,"[('schedule', 'VERB'), ('a', 'DET'), ('command', 'NOUN'), ('to', 'PART'), ('run', 'VERB'), ('at', 'ADP'), ('a', 'DET'), ('specific', 'ADJ'), ('time', 'NOUN')]"
scriptrunner,run one or more scripts in sequence,windows,,"[('run', 'VERB'), ('one', 'NUM'), ('or', 'CCONJ'), ('more', 'ADJ'), ('scripts', 'NOUN'), ('in', 'ADP'), ('sequence', 'NOUN')]"
set,display set or remove session environment variables ,windows,,"[('display', 'NOUN'), ('set', 'VERB'), ('or', 'CCONJ'), ('remove', 'VERB'), ('session', 'NOUN'), ('environment', 'NOUN'), ('variables', 'NOUN')]"
setlocal,control the visibility of environment variables ,windows,,"[('control', 'VERB'), ('the', 'DET'), ('visibility', 'NOUN'), ('of', 'ADP'), ('environment', 'NOUN'), ('variables', 'NOUN')]"
setobjectsecurity,set security for an object file directory reg key etc,windows,,"[('set', 'VERB'), ('security', 'NOUN'), ('for', 'ADP'), ('an', 'DET'), ('object', 'NOUN'), ('file', 'NOUN'), ('directory', 'NOUN'), ('reg', 'NOUN'), ('key', 'NOUN'), ('etc', 'NOUN')]"
setspn,edit service principal names,windows,,"[('edit', 'PROPN'), ('service', 'NOUN'), ('principal', 'NOUN'), ('names', 'NOUN')]"
setx,set environment variables,windows,,"[('set', 'VERB'), ('environment', 'NOUN'), ('variables', 'NOUN')]"
sfc,system file checker,windows,,"[('system', 'NOUN'), ('file', 'NOUN'), ('checker', 'NOUN')]"
share,list or edit a file share or print share,windows,,"[('list', 'NOUN'), ('or', 'CCONJ'), ('edit', 'VERB'), ('a', 'DET'), ('file', 'NOUN'), ('share', 'NOUN'), ('or', 'CCONJ'), ('print', 'NOUN'), ('share', 'NOUN')]"
shellrunas,run a command under a different user account,windows,,"[('run', 'VERB'), ('a', 'DET'), ('command', 'NOUN'), ('under', 'ADP'), ('a', 'DET'), ('different', 'ADJ'), ('user', 'NOUN'), ('account', 'NOUN')]"
shift,shift the position of batch file parameters ,windows,,"[('shift', 'VERB'), ('the', 'DET'), ('position', 'NOUN'), ('of', 'ADP'), ('batch', 'NOUN'), ('file', 'NOUN'), ('parameters', 'NOUN')]"
shortcut,create a windows shortcut lnk file,windows,,"[('create', 'VERB'), ('a', 'DET'), ('windows', 'NOUN'), ('shortcut', 'VERB'), ('lnk', 'ADJ'), ('file', 'NOUN')]"
shutdown,shutdown the computer,windows,,"[('shutdown', 'VERB'), ('the', 'DET'), ('computer', 'NOUN')]"
sigcheck,display file version no virustotal status  timestamp,windows,,"[('display', 'NOUN'), ('file', 'NOUN'), ('version', 'NOUN'), ('no', 'DET'), ('virustotal', 'ADJ'), ('status', 'NOUN'), (' ', 'SPACE'), ('timestamp', 'NOUN')]"
sleep,wait for x seconds,windows,,"[('wait', 'VERB'), ('for', 'ADP'), ('x', 'PUNCT'), ('seconds', 'NOUN')]"
slmgr,software licensing management,windows,,"[('software', 'NOUN'), ('licensing', 'NOUN'), ('management', 'NOUN')]"
sort,sort input,windows,,"[('sort', 'ADV'), ('input', 'VERB')]"
ssh,openssh remote login client,windows,,"[('openssh', 'PROPN'), ('remote', 'ADJ'), ('login', 'NOUN'), ('client', 'NOUN')]"
start,start a program command or batch file ,windows,,"[('start', 'VERB'), ('a', 'DET'), ('program', 'NOUN'), ('command', 'NOUN'), ('or', 'CCONJ'), ('batch', 'VERB'), ('file', 'NOUN')]"
strings,search for ansi and unicode strings in binary files,windows,,"[('search', 'VERB'), ('for', 'ADP'), ('ansi', 'PROPN'), ('and', 'CCONJ'), ('unicode', 'ADJ'), ('strings', 'NOUN'), ('in', 'ADP'), ('binary', 'ADJ'), ('files', 'NOUN')]"
subinacl,edit file and folder permissions ownership and domain,windows,,"[('edit', 'NOUN'), ('file', 'NOUN'), ('and', 'CCONJ'), ('folder', 'NOUN'), ('permissions', 'NOUN'), ('ownership', 'NOUN'), ('and', 'CCONJ'), ('domain', 'NOUN')]"
subst,associate a path with a drive letter,windows,,"[('associate', 'VERB'), ('a', 'DET'), ('path', 'NOUN'), ('with', 'ADP'), ('a', 'DET'), ('drive', 'NOUN'), ('letter', 'NOUN')]"
sxstrace,diagnose sidebyside problems,windows,,"[('diagnose', 'ADJ'), ('sidebyside', 'NOUN'), ('problems', 'NOUN')]"
sysmon,monitor and log system activity to the windows event log,windows,,"[('monitor', 'VERB'), ('and', 'CCONJ'), ('log', 'NOUN'), ('system', 'NOUN'), ('activity', 'NOUN'), ('to', 'ADP'), ('the', 'DET'), ('windows', 'NOUN'), ('event', 'NOUN'), ('log', 'NOUN')]"
systeminfo,list system configuration,windows,,"[('list', 'NOUN'), ('system', 'NOUN'), ('configuration', 'NOUN')]"
takeown,take ownership of a file,windows,,"[('take', 'VERB'), ('ownership', 'NOUN'), ('of', 'ADP'), ('a', 'DET'), ('file', 'NOUN')]"
tar,store list or extract files in an archive,windows,,"[('store', 'NOUN'), ('list', 'NOUN'), ('or', 'CCONJ'), ('extract', 'VERB'), ('files', 'NOUN'), ('in', 'ADP'), ('an', 'DET'), ('archive', 'NOUN')]"
tasklist,list running applications and services,windows,,"[('list', 'NOUN'), ('running', 'NOUN'), ('applications', 'NOUN'), ('and', 'CCONJ'), ('services', 'NOUN')]"
taskkill,end a running process,windows,,"[('end', 'VERB'), ('a', 'DET'), ('running', 'NOUN'), ('process', 'NOUN')]"
telnet,communicate with another host using the telnet protocol,windows,,"[('communicate', 'VERB'), ('with', 'ADP'), ('another', 'DET'), ('host', 'NOUN'), ('using', 'VERB'), ('the', 'DET'), ('telnet', 'NOUN'), ('protocol', 'NOUN')]"
time,display or set the system time ,windows,,"[('display', 'VERB'), ('or', 'CCONJ'), ('set', 'VERB'), ('the', 'DET'), ('system', 'NOUN'), ('time', 'NOUN')]"
timeout,delay processing of a batch filecommand,windows,,"[('delay', 'VERB'), ('processing', 'NOUN'), ('of', 'ADP'), ('a', 'DET'), ('batch', 'NOUN'), ('filecommand', 'NOUN')]"
title,set the window title for a cmdexe session ,windows,,"[('set', 'VERB'), ('the', 'DET'), ('window', 'NOUN'), ('title', 'NOUN'), ('for', 'ADP'), ('a', 'DET'), ('cmdexe', 'ADJ'), ('session', 'NOUN')]"
tlist,task list with full path,windows,,"[('task', 'NOUN'), ('list', 'NOUN'), ('with', 'ADP'), ('full', 'ADJ'), ('path', 'NOUN')]"
touch,change file timestamps,windows,,"[('change', 'VERB'), ('file', 'NOUN'), ('timestamps', 'NOUN')]"
tracert,trace route to a remote host,windows,,"[('trace', 'NOUN'), ('route', 'NOUN'), ('to', 'ADP'), ('a', 'DET'), ('remote', 'ADJ'), ('host', 'NOUN')]"
tree,graphical display of folder structure,windows,,"[('graphical', 'ADJ'), ('display', 'NOUN'), ('of', 'ADP'), ('folder', 'NOUN'), ('structure', 'NOUN')]"
tsdiscon,disconnect a remote desktop session,windows,,"[('disconnect', 'VERB'), ('a', 'DET'), ('remote', 'ADJ'), ('desktop', 'NOUN'), ('session', 'NOUN')]"
tskill,end a running process,windows,,"[('end', 'VERB'), ('a', 'DET'), ('running', 'NOUN'), ('process', 'NOUN')]"
type,display the contents of a text file ,windows,,"[('display', 'VERB'), ('the', 'DET'), ('contents', 'NOUN'), ('of', 'ADP'), ('a', 'DET'), ('text', 'NOUN'), ('file', 'NOUN')]"
typeperf,write performance monitor data to a log file,windows,,"[('write', 'VERB'), ('performance', 'NOUN'), ('monitor', 'NOUN'), ('data', 'NOUN'), ('to', 'ADP'), ('a', 'DET'), ('log', 'NOUN'), ('file', 'NOUN')]"
tzutil,time zone utility,windows,,"[('time', 'NOUN'), ('zone', 'NOUN'), ('utility', 'NOUN')]"
vbc,visual basic compiler,windows,,"[('visual', 'ADJ'), ('basic', 'ADJ'), ('compiler', 'NOUN')]"
ver,display version information ,windows,,"[('display', 'VERB'), ('version', 'NOUN'), ('information', 'NOUN')]"
verify,verify that files have been saved ,windows,,"[('verify', 'VERB'), ('that', 'SCONJ'), ('files', 'NOUN'), ('have', 'AUX'), ('been', 'AUX'), ('saved', 'VERB')]"
vmconnect,connect to a hyperv virtual machine,windows,,"[('connect', 'VERB'), ('to', 'ADP'), ('a', 'DET'), ('hyperv', 'NOUN'), ('virtual', 'ADJ'), ('machine', 'NOUN')]"
vol,display a disk label ,windows,,"[('display', 'VERB'), ('a', 'DET'), ('disk', 'NOUN'), ('label', 'NOUN')]"
vssadmin,display volume shadow copy backups  writersproviders,windows,,"[('display', 'PROPN'), ('volume', 'NOUN'), ('shadow', 'NOUN'), ('copy', 'NOUN'), ('backups', 'NOUN'), (' ', 'SPACE'), ('writersproviders', 'NOUN')]"
w32tm,time service,windows,,"[('time', 'NOUN'), ('service', 'NOUN')]"
waitfor,wait for or send a signal,windows,,"[('wait', 'VERB'), ('for', 'ADP'), ('or', 'CCONJ'), ('send', 'VERB'), ('a', 'DET'), ('signal', 'NOUN')]"
wbadmin,windows backup admin,windows,,"[('windows', 'PROPN'), ('backup', 'PROPN'), ('admin', 'VERB')]"
wecutil,windows event collector utility,windows,,"[('windows', 'PROPN'), ('event', 'NOUN'), ('collector', 'NOUN'), ('utility', 'NOUN')]"
wevtutil,clear event logs enabledisablequery logs,windows,,"[('clear', 'ADJ'), ('event', 'NOUN'), ('logs', 'VERB'), ('enabledisablequery', 'NOUN'), ('logs', 'NOUN')]"
where,locate and display files in a directory tree,windows,,"[('locate', 'VERB'), ('and', 'CCONJ'), ('display', 'VERB'), ('files', 'NOUN'), ('in', 'ADP'), ('a', 'DET'), ('directory', 'NOUN'), ('tree', 'NOUN')]"
whoami,output the current username and domain,windows,,"[('output', 'VERB'), ('the', 'DET'), ('current', 'ADJ'), ('username', 'NOUN'), ('and', 'CCONJ'), ('domain', 'NOUN')]"
whois,lookup the registration record for a domain,windows,,"[('lookup', 'NOUN'), ('the', 'DET'), ('registration', 'NOUN'), ('record', 'NOUN'), ('for', 'ADP'), ('a', 'DET'), ('domain', 'NOUN')]"
windiff,compare the contents of two files or sets of files,windows,,"[('compare', 'VERB'), ('the', 'DET'), ('contents', 'NOUN'), ('of', 'ADP'), ('two', 'NUM'), ('files', 'NOUN'), ('or', 'CCONJ'), ('sets', 'NOUN'), ('of', 'ADP'), ('files', 'NOUN')]"
winget,windows package manager coming may 2021,windows,,"[('windows', 'PROPN'), ('package', 'NOUN'), ('manager', 'NOUN'), ('coming', 'VERB'), ('may', 'AUX'), ('2021', 'NUM')]"
winmgmt,manage the wmi servicewmi repository,windows,,"[('manage', 'VERB'), ('the', 'DET'), ('wmi', 'NOUN'), ('servicewmi', 'NOUN'), ('repository', 'NOUN')]"
winrm,windows remote management,windows,,"[('windows', 'PROPN'), ('remote', 'ADJ'), ('management', 'NOUN')]"
winrs,windows remote shell,windows,,"[('windows', 'PROPN'), ('remote', 'ADJ'), ('shell', 'NOUN')]"
wmic,wmi commands,windows,,"[('wmi', 'PROPN'), ('commands', 'NOUN')]"
wpeutil,run preinstallation environment winpe commands,windows,,"[('run', 'VERB'), ('preinstallation', 'NOUN'), ('environment', 'NOUN'), ('winpe', 'VERB'), ('commands', 'NOUN')]"
wpr,windows performance recorder,windows,,"[('windows', 'PROPN'), ('performance', 'NOUN'), ('recorder', 'NOUN')]"
wt,windows terminal,windows,,"[('windows', 'PROPN'), ('terminal', 'NOUN')]"
wusa,windows update standalone installer,windows,,"[('windows', 'NOUN'), ('update', 'VERB'), ('standalone', 'ADJ'), ('installer', 'NOUN')]"
wuauclt,windows update,windows,,"[('windows', 'NOUN'), ('update', 'NOUN')]"
xcacls,change file and folder permissions,windows,,"[('change', 'VERB'), ('file', 'NOUN'), ('and', 'CCONJ'), ('folder', 'NOUN'), ('permissions', 'NOUN')]"
xcopy,copy files and folders,windows,,"[('copy', 'VERB'), ('files', 'NOUN'), ('and', 'CCONJ'), ('folders', 'NOUN')]"
,comment  remark ,windows,,"[('comment', 'NOUN'), (' ', 'SPACE'), ('remark', 'NOUN')]"
accesschk,get the security descriptor sddl for an object file directory reg key,linux,,"[('get', 'VERB'), ('the', 'DET'), ('security', 'NOUN'), ('descriptor', 'NOUN'), ('sddl', 'NOUN'), ('for', 'ADP'), ('an', 'DET'), ('object', 'NOUN'), ('file', 'NOUN'), ('directory', 'NOUN'), ('reg', 'NOUN'), ('key', 'NOUN')]"
addusers,add or list users tofrom a csv file,linux,,"[('add', 'VERB'), ('or', 'CCONJ'), ('list', 'VERB'), ('users', 'NOUN'), ('tofrom', 'ADP'), ('a', 'DET'), ('csv', 'NOUN'), ('file', 'NOUN')]"
admodcmd,active directory bulk modify,linux,,"[('active', 'ADJ'), ('directory', 'NOUN'), ('bulk', 'NOUN'), ('modify', 'NOUN')]"
arp,address resolution protocol,linux,,"[('address', 'NOUN'), ('resolution', 'NOUN'), ('protocol', 'NOUN')]"
assoc,change file extension associations ,linux,,"[('change', 'VERB'), ('file', 'NOUN'), ('extension', 'NOUN'), ('associations', 'NOUN')]"
attrib,change file attributes,linux,,"[('change', 'VERB'), ('file', 'NOUN'), ('attributes', 'NOUN')]"
bcdboot,create or repair a system partition,linux,,"[('create', 'VERB'), ('or', 'CCONJ'), ('repair', 'VERB'), ('a', 'DET'), ('system', 'NOUN'), ('partition', 'NOUN')]"
bcdedit,manage boot configuration data,linux,,"[('manage', 'VERB'), ('boot', 'NOUN'), ('configuration', 'NOUN'), ('data', 'NOUN')]"
bitsadmin,background intelligent transfer service,linux,,"[('background', 'NOUN'), ('intelligent', 'ADJ'), ('transfer', 'NOUN'), ('service', 'NOUN')]"
bootrec,repair or replace a partition boot sector,linux,,"[('repair', 'VERB'), ('or', 'CCONJ'), ('replace', 'VERB'), ('a', 'DET'), ('partition', 'NOUN'), ('boot', 'NOUN'), ('sector', 'NOUN')]"
break,do nothing successfully ,linux,,"[('do', 'VERB'), ('nothing', 'PRON'), ('successfully', 'ADV')]"
browstat,get domain browser and pdc info,linux,,"[('get', 'VERB'), ('domain', 'NOUN'), ('browser', 'NOUN'), ('and', 'CCONJ'), ('pdc', 'PROPN'), ('info', 'NOUN')]"
cacls,change file permissions,linux,,"[('change', 'VERB'), ('file', 'NOUN'), ('permissions', 'NOUN')]"
call,call one batch program from another ,linux,,"[('call', 'VERB'), ('one', 'NUM'), ('batch', 'NOUN'), ('program', 'NOUN'), ('from', 'ADP'), ('another', 'PRON')]"
certreq,request certificate from a certification authority,linux,,"[('request', 'NOUN'), ('certificate', 'NOUN'), ('from', 'ADP'), ('a', 'DET'), ('certification', 'NOUN'), ('authority', 'NOUN')]"
certutil,manage certification authority ca files and services,linux,,"[('manage', 'VERB'), ('certification', 'NOUN'), ('authority', 'NOUN'), ('ca', 'AUX'), ('files', 'NOUN'), ('and', 'CCONJ'), ('services', 'NOUN')]"
cd,change directory  move to a specific folder ,linux,,"[('change', 'VERB'), ('directory', 'NOUN'), (' ', 'SPACE'), ('move', 'NOUN'), ('to', 'ADP'), ('a', 'DET'), ('specific', 'ADJ'), ('folder', 'NOUN')]"
change,change terminal server session properties,linux,,"[('change', 'VERB'), ('terminal', 'ADJ'), ('server', 'NOUN'), ('session', 'NOUN'), ('properties', 'NOUN')]"
changepk,upgrade device editionproduct key,linux,,"[('upgrade', 'VERB'), ('device', 'NOUN'), ('editionproduct', 'NOUN'), ('key', 'NOUN')]"
chcp,change the active console code page,linux,,"[('change', 'VERB'), ('the', 'DET'), ('active', 'ADJ'), ('console', 'NOUN'), ('code', 'NOUN'), ('page', 'NOUN')]"
chdir,change directory  move to a specific folder ,linux,,"[('change', 'VERB'), ('directory', 'NOUN'), (' ', 'SPACE'), ('move', 'NOUN'), ('to', 'ADP'), ('a', 'DET'), ('specific', 'ADJ'), ('folder', 'NOUN')]"
chkdsk,check disk  check and repair disk problems,linux,,"[('check', 'VERB'), ('disk', 'NOUN'), (' ', 'SPACE'), ('check', 'NOUN'), ('and', 'CCONJ'), ('repair', 'VERB'), ('disk', 'NOUN'), ('problems', 'NOUN')]"
chkntfs,check the ntfs file system,linux,,"[('check', 'VERB'), ('the', 'DET'), ('ntfs', 'PROPN'), ('file', 'NOUN'), ('system', 'NOUN')]"
choice,accept keyboard input to a batch file,linux,,"[('accept', 'VERB'), ('keyboard', 'NOUN'), ('input', 'NOUN'), ('to', 'ADP'), ('a', 'DET'), ('batch', 'NOUN'), ('file', 'NOUN')]"
cipher,encrypt or decrypt filesfolders overwrite data,linux,,"[('encrypt', 'NOUN'), ('or', 'CCONJ'), ('decrypt', 'ADJ'), ('filesfolders', 'NOUN'), ('overwrite', 'VERB'), ('data', 'NOUN')]"
cleanmgr,automated cleanup of temp files recycle bin,linux,,"[('automated', 'VERB'), ('cleanup', 'NOUN'), ('of', 'ADP'), ('temp', 'NOUN'), ('files', 'NOUN'), ('recycle', 'PROPN'), ('bin', 'PROPN')]"
clip,copy stdin to the windows clipboard,linux,,"[('copy', 'PROPN'), ('stdin', 'VERB'), ('to', 'ADP'), ('the', 'DET'), ('windows', 'PROPN'), ('clipboard', 'NOUN')]"
cls,clear the screen ,linux,,"[('clear', 'ADJ'), ('the', 'DET'), ('screen', 'NOUN')]"
cmd,start a new cmd shell,linux,,"[('start', 'VERB'), ('a', 'DET'), ('new', 'ADJ'), ('cmd', 'NOUN'), ('shell', 'NOUN')]"
cmdkey,manage stored usernamespasswords,linux,,"[('manage', 'VERB'), ('stored', 'VERB'), ('usernamespasswords', 'NOUN')]"
color,change colors of the cmd window ,linux,,"[('change', 'VERB'), ('colors', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('cmd', 'ADJ'), ('window', 'NOUN')]"
comp,compare the contents of two files or sets of files,linux,,"[('compare', 'VERB'), ('the', 'DET'), ('contents', 'NOUN'), ('of', 'ADP'), ('two', 'NUM'), ('files', 'NOUN'), ('or', 'CCONJ'), ('sets', 'NOUN'), ('of', 'ADP'), ('files', 'NOUN')]"
compact,compress files or folders on an ntfs partition,linux,,"[('compress', 'VERB'), ('files', 'NOUN'), ('or', 'CCONJ'), ('folders', 'NOUN'), ('on', 'ADP'), ('an', 'DET'), ('ntfs', 'PROPN'), ('partition', 'NOUN')]"
compress,compress one or more files,linux,,"[('compress', 'VERB'), ('one', 'NUM'), ('or', 'CCONJ'), ('more', 'ADJ'), ('files', 'NOUN')]"
con,console input,linux,,"[('console', 'NOUN'), ('input', 'NOUN')]"
convert,convert a fat drive to ntfs,linux,,"[('convert', 'VERB'), ('a', 'DET'), ('fat', 'ADJ'), ('drive', 'NOUN'), ('to', 'ADP'), ('ntfs', 'PROPN')]"
copy,copy one or more files to another location ,linux,,"[('copy', 'VERB'), ('one', 'NUM'), ('or', 'CCONJ'), ('more', 'ADJ'), ('files', 'NOUN'), ('to', 'ADP'), ('another', 'DET'), ('location', 'NOUN')]"
coreinfo,show the mapping between logical  physical processors,linux,,"[('show', 'VERB'), ('the', 'DET'), ('mapping', 'NOUN'), ('between', 'ADP'), ('logical', 'ADJ'), (' ', 'SPACE'), ('physical', 'ADJ'), ('processors', 'NOUN')]"
csccmd,clientside caching offline files,linux,,"[('clientside', 'NOUN'), ('caching', 'VERB'), ('offline', 'ADJ'), ('files', 'NOUN')]"
csvde,import or export active directory data,linux,,"[('import', 'NOUN'), ('or', 'CCONJ'), ('export', 'VERB'), ('active', 'ADJ'), ('directory', 'NOUN'), ('data', 'NOUN')]"
curl,transfer data from or to a server,linux,,"[('transfer', 'VERB'), ('data', 'NOUN'), ('from', 'ADP'), ('or', 'CCONJ'), ('to', 'ADP'), ('a', 'DET'), ('server', 'NOUN')]"
date,display or set the date ,linux,,"[('display', 'VERB'), ('or', 'CCONJ'), ('set', 'VERB'), ('the', 'DET'), ('date', 'NOUN')]"
defrag,defragment hard drive,linux,,"[('defragment', 'VERB'), ('hard', 'ADJ'), ('drive', 'NOUN')]"
del,delete one or more files ,linux,,"[('delete', 'VERB'), ('one', 'NUM'), ('or', 'CCONJ'), ('more', 'ADJ'), ('files', 'NOUN')]"
delprof,delete user profiles,linux,,"[('delete', 'ADJ'), ('user', 'NOUN'), ('profiles', 'NOUN')]"
deltree,delete a folder and all subfolders,linux,,"[('delete', 'VERB'), ('a', 'DET'), ('folder', 'NOUN'), ('and', 'CCONJ'), ('all', 'DET'), ('subfolders', 'NOUN')]"
devcon,device manager command line utility,linux,,"[('device', 'NOUN'), ('manager', 'NOUN'), ('command', 'NOUN'), ('line', 'NOUN'), ('utility', 'NOUN')]"
dir,display a list of files and folders ,linux,,"[('display', 'VERB'), ('a', 'DET'), ('list', 'NOUN'), ('of', 'ADP'), ('files', 'NOUN'), ('and', 'CCONJ'), ('folders', 'NOUN')]"
diruse,display directory sizesusage,linux,,"[('display', 'VERB'), ('directory', 'NOUN'), ('sizesusage', 'NOUN')]"
diskpart,disk administration,linux,,"[('disk', 'PROPN'), ('administration', 'NOUN')]"
diskshadow,volume shadow copy service,linux,,"[('volume', 'NOUN'), ('shadow', 'NOUN'), ('copy', 'NOUN'), ('service', 'NOUN')]"
diskuse,show the space used in folders,linux,,"[('show', 'VERB'), ('the', 'DET'), ('space', 'NOUN'), ('used', 'VERB'), ('in', 'ADP'), ('folders', 'NOUN')]"
dism,deployment image servicing and management,linux,,"[('deployment', 'ADJ'), ('image', 'NOUN'), ('servicing', 'NOUN'), ('and', 'CCONJ'), ('management', 'NOUN')]"
displayswitch,specify which display to use and how to use it,linux,,"[('specify', 'VERB'), ('which', 'PRON'), ('display', 'VERB'), ('to', 'PART'), ('use', 'VERB'), ('and', 'CCONJ'), ('how', 'SCONJ'), ('to', 'PART'), ('use', 'VERB'), ('it', 'PRON')]"
dnscmd,manage dns servers,linux,,"[('manage', 'VERB'), ('dns', 'NOUN'), ('servers', 'NOUN')]"
doskey,edit command line recall commands and create macros,linux,,"[('edit', 'PROPN'), ('command', 'NOUN'), ('line', 'NOUN'), ('recall', 'NOUN'), ('commands', 'NOUN'), ('and', 'CCONJ'), ('create', 'VERB'), ('macros', 'NOUN')]"
driverquery,display installed device drivers,linux,,"[('display', 'VERB'), ('installed', 'VERB'), ('device', 'NOUN'), ('drivers', 'NOUN')]"
dsacls,active directory acls,linux,,"[('active', 'ADJ'), ('directory', 'NOUN'), ('acls', 'NOUN')]"
dsadd,add items to active directory user group computer,linux,,"[('add', 'VERB'), ('items', 'NOUN'), ('to', 'ADP'), ('active', 'ADJ'), ('directory', 'NOUN'), ('user', 'NOUN'), ('group', 'PROPN'), ('computer', 'NOUN')]"
